"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_001144537.2",384.017201714133,0.625640264864472,0.161976768850197,3.86253083887043,0.000112218393884237,0.114967744534401
"NM_001272862.1",206.906985123519,0.691315362643842,0.177603815650545,3.89245782874441,9.92337529819591e-05,0.114967744534401
"NM_001382090.1",980.359338767977,-0.300402393530878,0.0800347366087535,-3.75340016422347,0.000174452030263962,0.142980884004343
"NM_137162.3",93.7070633882565,5.79106181810903,1.23985439097556,4.67075961520966,3.00087949707336e-06,0.0122976041790066
"NM_167948.1",78.4874989683668,-1.4560971964898,0.361113702886599,-4.03224021921723,5.52476713928452e-05,0.11320247868394
